mean_left,mean_right,var_left,var_right,diff_mean,mean_var,diff_var,response_left,correct,source
46.875,56.875,226.69642857142858,218.69642857142858,-10.0,222.69642857142858,8.0,0,1,data_lab
45.625,46.0,104.83928571428571,404.85714285714283,-0.375,254.84821428571428,-300.0178571428571,0,1,data_lab
55.625,56.125,380.26785714285717,109.55357142857143,-0.5,244.9107142857143,270.7142857142857,1,0,data_lab
58.875,49.375,226.69642857142858,211.98214285714286,9.5,219.33928571428572,14.714285714285722,1,1,data_lab
47.75,47.875,406.5,92.125,-0.125,249.3125,314.375,1,0,data_lab
55.75,45.875,230.78571428571428,223.26785714285714,9.875,227.02678571428572,7.517857142857139,0,0,data_lab
42.25,51.875,229.92857142857142,224.98214285714286,-9.625,227.45535714285714,4.946428571428555,1,0,data_lab
55.125,45.375,219.55357142857142,228.26785714285714,9.75,223.91071428571428,-8.714285714285722,1,1,data_lab
40.0,49.625,230.0,218.83928571428572,-9.625,224.41964285714286,11.160714285714278,0,1,data_lab
40.625,50.875,226.26785714285714,232.69642857142858,-10.25,229.48214285714286,-6.428571428571445,1,0,data_lab
56.125,46.25,232.41071428571428,232.5,9.875,232.45535714285714,-0.0892857142857224,1,1,data_lab
49.0,49.25,91.71428571428571,417.92857142857144,-0.25,254.82142857142858,-326.2142857142857,0,1,data_lab
60.125,50.375,213.26785714285714,215.98214285714286,9.75,214.625,-2.7142857142857224,1,1,data_lab
46.0,45.75,380.57142857142856,93.35714285714286,0.25,236.96428571428572,287.21428571428567,0,0,data_lab
60.375,50.375,235.125,217.125,10.0,226.125,18.0,1,1,data_lab
42.75,53.375,234.5,219.125,-10.625,226.8125,15.375,1,0,data_lab
55.125,44.625,226.98214285714286,219.98214285714286,10.5,223.48214285714286,7.0,1,1,data_lab
56.875,56.75,402.125,101.64285714285714,0.125,251.88392857142856,300.4821428571429,1,1,data_lab
52.0,52.125,102.57142857142857,381.26785714285717,-0.125,241.91964285714286,-278.6964285714286,0,1,data_lab
51.625,52.375,398.55357142857144,109.69642857142857,-0.75,254.125,288.8571428571429,0,1,data_lab
52.125,42.125,211.83928571428572,221.26785714285714,10.0,216.55357142857144,-9.428571428571416,1,1,data_lab
49.75,49.75,101.07142857142857,389.64285714285717,0.0,245.35714285714286,-288.5714285714286,0,1,data_lab
40.375,50.0,218.55357142857142,234.57142857142858,-9.625,226.5625,-16.017857142857167,0,1,data_lab
46.375,56.25,226.55357142857142,218.5,-9.875,222.52678571428572,8.053571428571416,0,1,data_lab
51.625,52.375,101.98214285714286,394.26785714285717,-0.75,248.125,-292.28571428571433,0,1,data_lab
49.625,60.25,212.55357142857142,230.78571428571428,-10.625,221.66964285714283,-18.23214285714286,0,1,data_lab
48.625,58.875,236.83928571428572,238.41071428571428,-10.25,237.625,-1.5714285714285552,0,1,data_lab
59.875,50.25,218.41071428571428,226.78571428571428,9.625,222.59821428571428,-8.375,0,0,data_lab
44.0,43.75,395.14285714285717,94.78571428571429,0.25,244.96428571428572,300.3571428571429,0,0,data_lab
48.625,48.625,101.125,382.8392857142857,0.0,241.98214285714286,-281.7142857142857,0,1,data_lab
56.25,55.75,92.5,397.64285714285717,0.5,245.07142857142858,-305.14285714285717,1,1,data_lab
45.0,55.375,230.28571428571428,213.69642857142858,-10.375,221.99107142857144,16.589285714285694,0,1,data_lab
51.375,51.25,407.69642857142856,96.78571428571429,0.125,252.24107142857142,310.9107142857143,0,0,data_lab
53.375,53.0,108.83928571428571,399.42857142857144,0.375,254.13392857142858,-290.5892857142857,0,0,data_lab
57.25,46.875,215.92857142857142,214.69642857142858,10.375,215.3125,1.2321428571428328,1,1,data_lab
49.875,59.75,238.41071428571428,223.35714285714286,-9.875,230.88392857142856,15.053571428571416,0,1,data_lab
44.75,55.25,213.64285714285714,217.07142857142858,-10.5,215.35714285714286,-3.428571428571445,0,1,data_lab
40.875,51.0,226.98214285714286,230.85714285714286,-10.125,228.91964285714286,-3.875,0,1,data_lab
41.0,40.75,399.7142857142857,109.35714285714286,0.25,254.53571428571428,290.3571428571429,0,0,data_lab
57.0,57.25,386.85714285714283,108.78571428571429,-0.25,247.82142857142856,278.07142857142856,0,1,data_lab
46.125,45.75,388.98214285714283,96.21428571428571,0.375,242.59821428571428,292.7678571428571,0,0,data_lab
43.75,54.375,224.78571428571428,216.26785714285714,-10.625,220.52678571428572,8.517857142857139,0,1,data_lab
40.375,49.625,235.125,237.69642857142858,-9.25,236.41071428571428,-2.5714285714285836,0,1,data_lab
55.0,54.75,402.57142857142856,104.5,0.25,253.53571428571428,298.07142857142856,1,1,data_lab
60.0,50.0,230.85714285714286,217.14285714285714,10.0,224.0,13.714285714285722,1,1,data_lab
